label,hand,velocity,ls_x,ls_y,ls_z,rs_x,rs_y,rs_z,lw_x,lw_y,lw_z,rw_x,rw_y,rw_z
jab,left,2.27,0.16364721953868866,-0.4361910820007324,-0.07332812994718552,-0.16426211595535278,-0.4847032129764557,-0.03592207282781601,0.10971178114414215,-0.3994657099246979,-0.38949668407440186,-0.19786734879016876,-0.45592042803764343,-0.32348212599754333
jab,right,2.44,0.16364721953868866,-0.4361910820007324,-0.07332812994718552,-0.16426211595535278,-0.4847032129764557,-0.03592207282781601,0.10971178114414215,-0.3994657099246979,-0.38949668407440186,-0.19786734879016876,-0.45592042803764343,-0.32348212599754333
jab,right,2.62,0.1733805388212204,-0.4037289321422577,-0.19263312220573425,-0.1744193285703659,-0.4341305196285248,-0.15508174896240234,0.1447795331478119,-0.34814023971557617,-0.48302188515663147,-0.16869263350963593,-0.2949088215827942,-0.4518168866634369
jab,left,2.58,0.18073709309101105,-0.40205466747283936,-0.17710964381694794,-0.17225079238414764,-0.4353817105293274,-0.14454041421413422,0.1524341106414795,-0.3487705588340759,-0.44923585653305054,-0.14349710941314697,-0.3155202865600586,-0.4315614402294159
jab,right,3.32,0.19572672247886658,-0.39437341690063477,-0.12318702787160873,-0.14121797680854797,-0.4659847617149353,-0.0736827552318573,0.12546026706695557,-0.3303743302822113,-0.4139808416366577,-0.21672165393829346,-0.2569103240966797,-0.35671481490135193
jab,right,2.05,0.2007201910018921,-0.41028711199760437,-0.10400845855474472,-0.14341937005519867,-0.4672968089580536,-0.06590120494365692,0.13229724764823914,-0.3461257219314575,-0.3773011267185211,-0.19839775562286377,-0.22773747146129608,-0.27131152153015137
jab,left,4.29,0.16273273527622223,-0.416887104511261,-0.12386603653430939,-0.15663012862205505,-0.4050721526145935,-0.11296624690294266,0.09949326515197754,-0.25667983293533325,-0.3094906210899353,-0.09195099771022797,-0.3801858127117157,-0.332580029964447
jab,right,3.41,0.18563750386238098,-0.4014603793621063,-0.0735362097620964,-0.1553541123867035,-0.46117550134658813,-0.03494869917631149,0.12955054640769958,-0.3779863119125366,-0.32941147685050964,-0.16156615316867828,-0.27330029010772705,-0.234657421708107
jab,left,2.54,0.15346120297908783,-0.4071543216705322,-0.10679007321596146,-0.17013107240200043,-0.3939804434776306,-0.11056482791900635,0.10269886255264282,-0.2298026978969574,-0.30874598026275635,-0.11056243628263474,-0.3538036048412323,-0.32313233613967896
jab,right,2.7,0.17667198181152344,-0.4281917214393616,-0.0800410732626915,-0.16114428639411926,-0.47340789437294006,-0.05609533563256264,0.12978403270244598,-0.38146352767944336,-0.346305251121521,-0.15135294198989868,-0.25250571966171265,-0.2540101706981659
cross,left,3.54,0.1497628390789032,-0.4396856725215912,-0.14465941488742828,-0.19401749968528748,-0.44662463665008545,-0.093696728348732,0.10066602379083633,-0.20529024302959442,-0.35579055547714233,-0.14722980558872223,-0.20809943974018097,-0.3504459261894226
cross,right,5.33,0.1897086650133133,-0.4197404086589813,-0.09195969998836517,-0.15948496758937836,-0.4775618016719818,-0.0797654390335083,0.12011375278234482,-0.3260951042175293,-0.37812402844429016,-0.38210827112197876,-0.270196795463562,-0.231736958026886
cross,right,2.16,0.2081812471151352,-0.40685775876045227,-0.1262121945619583,-0.13007263839244843,-0.48893648386001587,-0.11613909900188446,0.13309341669082642,-0.326646625995636,-0.39507901668548584,-0.27934661507606506,-0.2475907802581787,-0.3389733135700226
cross,left,2.19,0.1757025271654129,-0.4386337697505951,-0.055199746042490005,-0.1493801325559616,-0.49635636806488037,-0.0710422620177269,0.10045637935400009,-0.4221550226211548,-0.4099488854408264,-0.07507411390542984,-0.4296729862689972,-0.3653542101383209
cross,left,3.27,0.15419146418571472,-0.4424561560153961,-0.18416285514831543,-0.1812877357006073,-0.3966262638568878,-0.12001051008701324,0.2895672023296356,-0.35253793001174927,-0.3979908525943756,-0.1568080335855484,-0.3429431915283203,-0.3893447816371918
cross,right,2.47,0.11156561970710754,-0.4747482240200043,-0.12058105319738388,-0.1902826726436615,-0.4453500211238861,-0.05201788619160652,-0.031063828617334366,-0.36241787672042847,-0.3498959243297577,-0.14415185153484344,-0.29064705967903137,-0.30208200216293335
cross,left,2.19,0.15517443418502808,-0.40105852484703064,-0.22518324851989746,-0.1827641874551773,-0.43600204586982727,-0.16098423302173615,0.11120451241731644,-0.32286742329597473,-0.5736555457115173,-0.2643771767616272,-0.27890750765800476,-0.5461681485176086
cross,right,2.63,0.1778048574924469,-0.38741016387939453,-0.20384488999843597,-0.16559937596321106,-0.44224631786346436,-0.18352805078029633,0.16639408469200134,-0.35909777879714966,-0.5517134070396423,-0.37550297379493713,-0.2739763855934143,-0.39203453063964844
cross,right,8.3,0.16214711964130402,-0.4567081928253174,-0.061656951904296875,-0.1493006944656372,-0.49988478422164917,-0.08718540519475937,0.15938861668109894,-0.5029798150062561,-0.3223210573196411,-0.0867510437965393,-0.4722591042518616,-0.32794812321662903
cross,left,3.86,0.1478295922279358,-0.44575026631355286,-0.16233180463314056,-0.17920242249965668,-0.40899619460105896,-0.1983725130558014,0.3502233922481537,-0.2443850189447403,-0.2691163718700409,-0.08375701308250427,-0.35379526019096375,-0.47702673077583313
hook,right,4.66,0.18007728457450867,-0.38119637966156006,-0.20625576376914978,-0.16767600178718567,-0.45493289828300476,-0.19124145805835724,0.14888890087604523,-0.2963572144508362,-0.4408876597881317,-0.21372419595718384,-0.32149043679237366,-0.4347437918186188
hook,left,4.43,0.12057071179151535,-0.4961233139038086,-0.13654063642024994,-0.18840675055980682,-0.42726054787635803,-0.09004182368516922,0.029400639235973358,-0.4605598747730255,-0.40386348962783813,-0.22642315924167633,-0.40287262201309204,-0.34511110186576843
hook,right,2.39,0.17498676478862762,-0.3885917365550995,-0.2399965226650238,-0.16509000957012177,-0.41102272272109985,-0.1464969962835312,0.07603833079338074,-0.30897194147109985,-0.5278462767601013,-0.2212611585855484,-0.315738707780838,-0.46882885694503784
hook,left,2.16,0.17929959297180176,-0.38214969635009766,-0.2347007691860199,-0.16408638656139374,-0.41578295826911926,-0.14805595576763153,0.10108210891485214,-0.30679044127464294,-0.5548468232154846,-0.21782970428466797,-0.3230799734592438,-0.4866275489330292
hook,right,5.31,0.16525022685527802,-0.37350448966026306,-0.1557917594909668,-0.1493827849626541,-0.4650936722755432,-0.20711663365364075,0.14739440381526947,-0.3954410254955292,-0.4253706634044647,-0.5556224584579468,-0.35437914729118347,-0.19363312423229218
hook,right,2.76,0.1785888522863388,-0.39148905873298645,-0.1609075367450714,-0.1516677290201187,-0.4313007891178131,-0.20750129222869873,0.18115386366844177,-0.35797739028930664,-0.3813668489456177,-0.08870142698287964,-0.32751792669296265,-0.4251110851764679
hook,left,2.03,0.13869908452033997,-0.406863808631897,-0.2804000973701477,-0.18708179891109467,-0.37019404768943787,-0.2483198642730713,0.31171664595603943,-0.25039544701576233,-0.464570015668869,-0.19632214307785034,-0.3407287299633026,-0.526017963886261
hook,right,3.51,0.14123739302158356,-0.49486204981803894,-0.15542013943195343,-0.1703803688287735,-0.42534247040748596,-0.07689691334962845,0.4040110111236572,-0.38087207078933716,-0.29104870557785034,-0.24230501055717468,-0.4224308431148529,-0.3115619421005249
hook,left,3.05,0.13131287693977356,-0.510012149810791,-0.12851376831531525,-0.18508903682231903,-0.45372486114501953,-0.07157010585069656,0.07839271426200867,-0.48676928877830505,-0.4025706648826599,-0.2028198093175888,-0.45463380217552185,-0.39565256237983704
hook,right,3.2,0.18712522089481354,-0.3779963254928589,-0.22213102877140045,-0.15528258681297302,-0.44967928528785706,-0.1766556203365326,0.13295572996139526,-0.333027720451355,-0.5285597443580627,-0.29831284284591675,-0.2753792405128479,-0.4704875648021698
uppercut,left,2.04,0.18514235317707062,-0.3710657060146332,-0.23920565843582153,-0.1576133817434311,-0.3927510380744934,-0.2149033099412918,0.08769042044878006,-0.24196328222751617,-0.510456919670105,-0.09555692225694656,-0.26439565420150757,-0.47518059611320496
uppercut,right,3.2,0.13751211762428284,-0.42908838391304016,-0.14186367392539978,-0.2117820680141449,-0.42988526821136475,-0.12321530282497406,0.04502014070749283,-0.30159005522727966,-0.41331732273101807,-0.17013072967529297,-0.10332180559635162,-0.2866190969944
uppercut,left,4.25,0.15085247159004211,-0.4177796542644501,-0.2042558789253235,-0.19057424366474152,-0.4072437882423401,-0.22297045588493347,0.18596118688583374,-0.05515763536095619,-0.21160344779491425,-0.08262407034635544,-0.3518548905849457,-0.49992305040359497
uppercut,left,2.24,0.163626566529274,-0.39093565940856934,-0.21573658287525177,-0.17890915274620056,-0.40443575382232666,-0.16798081994056702,0.03440208360552788,-0.2714284658432007,-0.4932485818862915,-0.14913229644298553,-0.2564358711242676,-0.46459639072418213
uppercut,right,2.28,0.163626566529274,-0.39093565940856934,-0.21573658287525177,-0.17890915274620056,-0.40443575382232666,-0.16798081994056702,0.03440208360552788,-0.2714284658432007,-0.4932485818862915,-0.14913229644298553,-0.2564358711242676,-0.46459639072418213
uppercut,right,2.01,0.1672958880662918,-0.42500829696655273,-0.14699073135852814,-0.19789892435073853,-0.44980719685554504,-0.12792611122131348,0.07524555921554565,-0.3242320418357849,-0.4277881681919098,-0.1517590582370758,-0.10284510999917984,-0.26161304116249084
uppercut,left,3.52,0.17322242259979248,-0.4120951294898987,-0.1946239173412323,-0.16341426968574524,-0.3992152810096741,-0.22403287887573242,0.18170857429504395,-0.08225441724061966,-0.2828931510448456,-0.0811699852347374,-0.3018772304058075,-0.4966156780719757
uppercut,left,2.66,0.11779580265283585,-0.4137166142463684,-0.15843240916728973,-0.21690648794174194,-0.41048160195350647,-0.12431847304105759,0.08942485600709915,-0.48179176449775696,-0.4105739891529083,-0.226799875497818,-0.38743627071380615,-0.41264352202415466
uppercut,right,2.04,0.13071608543395996,-0.39181894063949585,-0.22834229469299316,-0.21154390275478363,-0.40335822105407715,-0.17272710800170898,0.07127545773983002,-0.33069920539855957,-0.4890184998512268,-0.24314968287944794,-0.3014807105064392,-0.4636109471321106
uppercut,left,2.14,0.1471368968486786,-0.3858010768890381,-0.1841038018465042,-0.19170928001403809,-0.4062900245189667,-0.18527594208717346,0.12710128724575043,-0.3451710343360901,-0.46458977460861206,-0.18277408182621002,-0.3739607334136963,-0.4883461892604828
uppercut,right,2.18,0.1471368968486786,-0.3858010768890381,-0.1841038018465042,-0.19170928001403809,-0.4062900245189667,-0.18527594208717346,0.12710128724575043,-0.3451710343360901,-0.46458977460861206,-0.18277408182621002,-0.3739607334136963,-0.4883461892604828
